date,registered,casual,total
2019-01-01,3457,1083,4540
2019-01-02,5907,660,6567
2019-01-03,6666,938,7604
2019-01-04,6514,848,7362
2019-01-05,4405,701,5106
2019-01-06,4901,1149,6050
2019-01-07,5980,236,6216
2019-01-08,7165,490,7655
2019-01-09,6128,280,6408
2019-01-10,5386,176,5562
2019-01-11,5437,240,5677
2019-01-12,3264,365,3629
2019-01-13,587,41,628
2019-01-14,1452,70,1522
2019-01-15,3674,105,3779
2019-01-16,4775,167,4942
2019-01-17,4927,158,5085
2019-01-18,5336,396,5732
2019-01-19,3047,519,3566
2019-01-20,2344,246,2590
2019-01-21,1539,53,1592
2019-01-22,4446,139,4585
2019-01-23,6444,264,6708
2019-01-24,3794,82,3876
2019-01-25,5969,294,6263
2019-01-26,3935,559,4494
2019-01-27,3949,551,4500
2019-01-28,6086,239,6325
2019-01-29,4208,127,4335
2019-01-30,3942,78,4020
2019-01-31,3779,83,3862
2019-02-01,2424,43,2467
2019-02-02,3053,367,3420
2019-02-03,4371,681,5052
2019-02-04,7247,550,7797
2019-02-05,8470,743,9213
2019-02-06,6547,397,6944
2019-02-07,7328,523,7851
2019-02-08,6234,417,6651
2019-02-09,3571,456,4027
2019-02-10,3456,468,3924
2019-02-11,3172,72,3244
2019-02-12,2545,40,2585
2019-02-13,7033,270,7303
2019-02-14,7046,406,7452
2019-02-15,8030,1147,9177
2019-02-16,4466,1235,5701
2019-02-17,3195,796,3991
2019-02-18,3950,639,4589
2019-02-19,6011,308,6319
2019-02-20,909,32,941
2019-02-21,6091,500,6591
2019-02-22,6564,619,7183
2019-02-23,2512,242,2754
2019-02-24,4389,809,5198
2019-02-25,5683,239,5922
2019-02-26,7169,391,7560
2019-02-27,6561,270,6831
2019-02-28,7010,433,7443
2019-03-01,3872,197,4069
2019-03-02,4390,981,5371
2019-03-03,2075,234,2309
2019-03-04,5900,365,6265
2019-03-05,6297,463,6760
2019-03-06,5347,190,5537
2019-03-07,6248,381,6629
2019-03-08,4444,251,4695
2019-03-09,4591,1015,5606
2019-03-10,4997,1533,6530
2019-03-11,8527,1088,9615
2019-03-12,8187,748,8935
2019-03-13,8230,976,9206
2019-03-14,9755,1823,11578
2019-03-15,9787,1886,11673
2019-03-16,6619,2109,8728
2019-03-17,5792,1868,7660
2019-03-18,7411,608,8019
2019-03-19,8623,848,9471
2019-03-20,9094,896,9990
2019-03-21,2003,50,2053
2019-03-22,6430,460,6890
2019-03-23,5935,1737,7672
2019-03-24,7858,3025,10883
2019-03-25,8046,877,8923
2019-03-26,8434,835,9269
2019-03-27,8871,931,9802
2019-03-28,10069,1409,11478
2019-03-29,10724,1988,12712
2019-03-30,12127,5784,17911
2019-03-31,5974,1598,7572
2019-04-01,8039,826,8865
2019-04-02,7319,576,7895
2019-04-03,11254,1888,13142
2019-04-04,11135,2108,13243
2019-04-05,5371,537,5908
2019-04-06,12225,6121,18346
2019-04-07,10390,4507,14897
2019-04-08,9565,1390,10955
2019-04-09,11552,1473,13025
2019-04-10,11376,1345,12721
2019-04-11,10699,1153,11852
2019-04-12,8699,929,9628
2019-04-13,10414,4204,14618
2019-04-14,7116,2797,9913
2019-04-15,7186,1085,8271
2019-04-16,10035,1863,11898
2019-04-17,10559,1888,12447
2019-04-18,10673,2279,12952
2019-04-19,7064,1308,8372
2019-04-20,9530,4784,14314
2019-04-21,7595,3401,10996
2019-04-22,10473,1736,12209
2019-04-23,11655,1588,13243
2019-04-24,11690,1544,13234
2019-04-25,10628,1711,12339
2019-04-26,7878,930,8808
2019-04-27,8863,3189,12052
2019-04-28,7495,2381,9876
2019-04-29,9035,1137,10172
2019-04-30,10635,1166,11801
2019-05-01,10696,1245,11941
2019-05-02,8769,1125,9894
2019-05-03,10746,1718,12464
2019-05-04,8356,2678,11034
2019-05-05,2371,318,2689
2019-05-06,10343,1359,11702
2019-05-07,10900,1382,12282
2019-05-08,10385,1234,11619
2019-05-09,10400,1039,11439
2019-05-10,9341,1236,10577
2019-05-11,6428,1809,8237
2019-05-12,2864,445,3309
2019-05-13,6038,568,6606
2019-05-14,9857,1069,10926
2019-05-15,10956,1372,12328
2019-05-16,10643,1604,12247
2019-05-17,11491,2051,13542
2019-05-18,9391,3465,12856
2019-05-19,8447,2868,11315
2019-05-20,9958,1530,11488
2019-05-21,11429,1381,12810
2019-05-22,11318,1383,12701
2019-05-23,10208,1154,11362
2019-05-24,10675,1887,12562
2019-05-25,8256,3615,11871
2019-05-26,7655,3609,11264
2019-05-27,8032,3227,11259
2019-05-28,8752,1264,10016
2019-05-29,10794,1207,12001
2019-05-30,9541,993,10534
2019-05-31,11039,1790,12829
2019-06-01,9127,3105,12232
2019-06-02,7460,2369,9829
2019-06-03,11016,1730,12746
